Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_stats_mean,sojournTimeU2_stats_mean,SoggiornoMedio_TuttiUtenti
Config1,2.4,2.0,4.0,0.4,0.6,16.802813147764248,21320.921513560632,9427.38958219513
Config1,2.4,2.0,4.0,0.4,0.8,888.6790533592584,48672.04208040275,1192.0297850024576
Config1,2.4,2.0,4.0,0.4,0.9,17831.786726123297,,
Config1,2.4,2.0,4.0,0.6,0.6,26.061690291498802,27049.84060075065,5632.704636825327
Config1,2.4,2.0,4.0,0.6,0.8,14771.799514475799,,
Config1,2.4,2.0,4.0,0.6,0.9,22829.1208232535,,
Config1,2.4,2.0,4.0,0.8,0.6,679.686763671611,54881.34053192257,772.7248714250525
Config1,2.4,2.0,4.0,0.8,0.8,20734.926838685,,
Config1,2.4,2.0,4.0,0.8,0.9,25616.97410258475,,
Config1,2.4,2.0,5.0,0.4,0.6,15.393516143460499,10040.309900732615,5460.772941029589
Config1,2.4,2.0,5.0,0.4,0.8,80.48372152562325,36582.6418775093,6145.7825227641
Config1,2.4,2.0,5.0,0.4,0.9,14693.6817282378,54996.292892114885,14921.830202834935
Config1,2.4,2.0,5.0,0.6,0.6,19.21721682271625,10155.186526602649,3506.299631977419
Config1,2.4,2.0,5.0,0.6,0.8,8223.68747332758,,
Config1,2.4,2.0,5.0,0.6,0.9,20428.7544764985,,
Config1,2.4,2.0,5.0,0.8,0.6,30.47950577350545,10265.21560291203,1715.0141299059455
Config1,2.4,2.0,5.0,0.8,0.8,16448.6708062571,,
Config1,2.4,2.0,5.0,0.8,0.9,23642.54527927405,,
Config1,2.4,2.0,6.0,0.4,0.6,14.2996823903186,158.532742654867,100.94390215356914
Config1,2.4,2.0,6.0,0.4,0.8,53.395840099009455,28970.1979481873,8337.607093817185
Config1,2.4,2.0,6.0,0.4,0.9,11832.5592445252,48626.6569005613,12776.585749767873
Config1,2.4,2.0,6.0,0.6,0.6,16.299868061987247,103.60052325193956,51.097849648490595
Config1,2.4,2.0,6.0,0.6,0.8,788.0510951950495,49426.052627955534,1126.6218047614097
Config1,2.4,2.0,6.0,0.6,0.9,18072.8843614382,,
Config1,2.4,2.0,6.0,0.8,0.6,20.13003788370385,92.5137610075039,34.63813484200119
Config1,2.4,2.0,6.0,0.8,0.8,11753.0275122096,,
Config1,2.4,2.0,6.0,0.8,0.9,21687.7619269493,,
Config1,2.4,3.0,4.0,0.4,0.6,16.8463939898542,21424.77676137865,9524.142092096123
Config1,2.4,3.0,4.0,0.4,0.8,913.1050235856144,47981.39119235033,1070.8043744934616
Config1,2.4,3.0,4.0,0.4,0.9,18012.23849654185,,
Config1,2.4,3.0,4.0,0.6,0.6,25.918442661961897,26846.5981987093,5697.084473170161
Config1,2.4,3.0,4.0,0.6,0.8,14910.126583167299,,
Config1,2.4,3.0,4.0,0.6,0.9,22856.859685198102,,
Config1,2.4,3.0,4.0,0.8,0.6,685.192145544599,47481.70299005267,720.9171622766964
Config1,2.4,3.0,4.0,0.8,0.8,20712.5455280936,,
Config1,2.4,3.0,4.0,0.8,0.9,25638.96302189005,,
Config1,2.4,3.0,5.0,0.4,0.6,15.31083908804105,10242.83143094908,5567.174421498284
Config1,2.4,3.0,5.0,0.4,0.8,83.03488185625766,36852.96468738715,6108.427929287465
Config1,2.4,3.0,5.0,0.4,0.9,14768.582906966749,53741.17606034239,14892.724554858047
Config1,2.4,3.0,5.0,0.6,0.6,18.9576591369717,9963.345226775924,3442.33857071705
Config1,2.4,3.0,5.0,0.6,0.8,8249.268708410711,,
Config1,2.4,3.0,5.0,0.6,0.9,20371.7072882084,,
Config1,2.4,3.0,5.0,0.8,0.6,29.462217875518803,10939.122460370805,1855.4271407629353
Config1,2.4,3.0,5.0,0.8,0.8,16388.65182499695,,
Config1,2.4,3.0,5.0,0.8,0.9,23619.2128131898,,
Config1,2.4,3.0,6.0,0.4,0.6,14.4290991020813,175.640439672339,111.2171309942058
Config1,2.4,3.0,6.0,0.4,0.8,55.09128365566365,29392.21677891165,8403.783223805876
Config1,2.4,3.0,6.0,0.4,0.9,11701.081526080301,48011.365802887405,12684.208629852412
Config1,2.4,3.0,6.0,0.6,0.6,16.202584497738847,127.54909851547583,61.02442722862385
Config1,2.4,3.0,6.0,0.6,0.8,893.0215983216455,48713.65876920314,1053.5737557000405
Config1,2.4,3.0,6.0,0.6,0.9,18146.89013026875,,
Config1,2.4,3.0,6.0,0.8,0.6,20.09061527845035,96.34501983692044,35.406521621595665
Config1,2.4,3.0,6.0,0.8,0.8,11822.8962456318,,
Config1,2.4,3.0,6.0,0.8,0.9,21649.8287778723,,
Config1,2.4,4.0,4.0,0.4,0.6,16.7720991273529,21563.33086357915,9527.745031481914
Config1,2.4,4.0,4.0,0.4,0.8,797.985886091448,52753.504744119105,1346.1775717508322
Config1,2.4,4.0,4.0,0.4,0.9,18035.132424187097,,
Config1,2.4,4.0,4.0,0.6,0.6,25.2924718252407,27067.11235820475,5696.262947432909
Config1,2.4,4.0,4.0,0.6,0.8,14862.505882000001,,
Config1,2.4,4.0,4.0,0.6,0.9,22843.6486197975,,
Config1,2.4,4.0,4.0,0.8,0.6,577.980970645262,47419.02324909363,666.7609818098707
Config1,2.4,4.0,4.0,0.8,0.8,20632.994495788902,,
Config1,2.4,4.0,4.0,0.8,0.9,25614.12586019295,,
Config1,2.4,4.0,5.0,0.4,0.6,15.3471261153521,9908.807397362036,5396.568245172175
Config1,2.4,4.0,5.0,0.4,0.8,81.5889574540293,36023.240420594855,6085.990365598898
Config1,2.4,4.0,5.0,0.4,0.9,14577.57564349875,51006.701727734086,14736.380167270852
Config1,2.4,4.0,5.0,0.6,0.6,18.9185059364915,9770.403864697655,3417.3323130268896
Config1,2.4,4.0,5.0,0.6,0.8,8312.92517394276,,
Config1,2.4,4.0,5.0,0.6,0.9,20424.05451452255,,
Config1,2.4,4.0,5.0,0.8,0.6,29.8048258190294,10556.504213320406,1775.128223365447
Config1,2.4,4.0,5.0,0.8,0.8,16556.08170459805,,
Config1,2.4,4.0,5.0,0.8,0.9,23629.2497257842,,
Config1,2.4,4.0,6.0,0.4,0.6,14.41483122979285,192.40448185177695,121.17983688494681
Config1,2.4,4.0,6.0,0.4,0.8,53.942039830732995,29098.396701553553,8357.383989763151
Config1,2.4,4.0,6.0,0.4,0.9,11717.7093215853,49927.68481096045,12765.089211728862
Config1,2.4,4.0,6.0,0.6,0.6,16.35176964244865,116.2632337405169,56.28922049111585
Config1,2.4,4.0,6.0,0.6,0.8,988.1123800095454,48072.92934897737,962.9196480055783
Config1,2.4,4.0,6.0,0.6,0.9,17952.0920579243,,
Config1,2.4,4.0,6.0,0.8,0.6,19.749178522213647,99.56242764180685,35.79201321083678
Config1,2.4,4.0,6.0,0.8,0.8,11890.017363549949,,
Config1,2.4,4.0,6.0,0.8,0.9,21618.25430136275,,
Config1,3.0,2.0,4.0,0.4,0.6,19.26636201149895,21479.162940365153,9551.97474218809
Config1,3.0,2.0,4.0,0.4,0.8,6397.576166645315,42430.32770560345,10324.693295740437
Config1,3.0,2.0,4.0,0.4,0.9,18147.89046580495,42897.61758816,20891.428459900722
Config1,3.0,2.0,4.0,0.6,0.6,30.51590753132455,27172.63758323955,5679.013777617057
Config1,3.0,2.0,4.0,0.6,0.8,12891.5153414019,49382.35688498085,13807.634118119551
Config1,3.0,2.0,4.0,0.6,0.9,18909.672730031998,49158.42095387375,19684.7884435343
Config1,3.0,2.0,4.0,0.8,0.6,563.1960718194575,48866.34651033433,847.8087976234682
Config1,3.0,2.0,4.0,0.8,0.8,17168.982392482947,,
Config1,3.0,2.0,4.0,0.8,0.9,20946.21158793585,,
Config1,3.0,2.0,5.0,0.4,0.6,17.2975542595385,10146.387844812434,5540.174441120568
Config1,3.0,2.0,5.0,0.4,0.8,287.0622430011235,36698.6025777064,6171.579396953706
Config1,3.0,2.0,5.0,0.4,0.9,16731.84745075555,39025.41610939715,19906.64161409725
Config1,3.0,2.0,5.0,0.6,0.6,22.040705460776,10141.689361231225,3535.2553736384034
Config1,3.0,2.0,5.0,0.6,0.8,10144.67401615081,39892.17753611335,12423.60154560144
Config1,3.0,2.0,5.0,0.6,0.9,18527.02070951395,40828.09670483635,20235.16686061915
Config1,3.0,2.0,5.0,0.8,0.6,34.9750663312804,9775.203021801584,1673.4914692388415
Config1,3.0,2.0,5.0,0.8,0.8,13527.34090856075,47795.72016622489,13933.992070850738
Config1,3.0,2.0,5.0,0.8,0.9,18741.777368704,46949.817902114824,19068.73984189186
Config1,3.0,2.0,6.0,0.4,0.6,16.0975693812119,171.7622790729497,109.4107927237859
Config1,3.0,2.0,6.0,0.4,0.8,84.230327945185,29359.6182699806,8475.571245123974
Config1,3.0,2.0,6.0,0.4,0.9,15113.05531458675,36452.236422774855,18741.930447354407
Config1,3.0,2.0,6.0,0.6,0.6,18.62180834654765,106.12329937447726,53.560494951897695
