Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_stats_mean,sojournTimeU2_stats_mean,SoggiornoMedio_TuttiUtenti
Config1,2.4,2.0,4.0,0.4,0.6,16.579367177222952,21086.991286876062,7962.650456945841
Config1,2.4,2.0,4.0,0.4,0.8,609.0023395159417,17284.596470871526,1098.1865963705
Config1,2.4,2.0,4.0,0.4,0.9,17612.826196349863,0.0,17612.826196349863
Config1,2.4,2.0,4.0,0.6,0.6,25.586287696147483,26574.901099597188,5525.685681451491
Config1,2.4,2.0,4.0,0.6,0.8,14498.595488444227,0.0,14498.595488444227
Config1,2.4,2.0,4.0,0.6,0.9,22646.6786977579,0.0,22646.6786977579
Config1,2.4,2.0,4.0,0.8,0.6,473.2004010109499,6323.738673314856,678.560132583161
Config1,2.4,2.0,4.0,0.8,0.8,20561.742550510236,0.0,20561.742550510236
Config1,2.4,2.0,4.0,0.8,0.9,25410.769021007276,0.0,25410.769021007276
Config1,2.4,2.0,5.0,0.4,0.6,15.24806707671893,9673.086445953713,5273.8317529062515
Config1,2.4,2.0,5.0,0.4,0.8,75.23933313383131,35980.84509614066,5862.010917628688
Config1,2.4,2.0,5.0,0.4,0.9,14401.34618256107,36619.6664227205,14624.239346785425
Config1,2.4,2.0,5.0,0.6,0.6,18.889825789510347,9658.144316734675,3350.1012304953238
Config1,2.4,2.0,5.0,0.6,0.8,7896.3447588989,0.0,7896.3447588989
Config1,2.4,2.0,5.0,0.6,0.9,20242.634931672645,0.0,20242.634931672645
Config1,2.4,2.0,5.0,0.8,0.6,29.117488532987764,9129.349430063736,1530.714520487023
Config1,2.4,2.0,5.0,0.8,0.8,16237.973811701271,0.0,16237.973811701271
Config1,2.4,2.0,5.0,0.8,0.9,23440.00228658501,0.0,23440.00228658501
Config1,2.4,2.0,6.0,0.4,0.6,14.118222178598291,126.70246188300695,81.66731562661207
Config1,2.4,2.0,6.0,0.4,0.8,51.30401624593316,28586.76054506764,8156.538882287718
Config1,2.4,2.0,6.0,0.4,0.9,11475.668311998881,47595.896192818036,12402.92644752339
Config1,2.4,2.0,6.0,0.6,0.6,16.09304337851967,89.91429612115184,45.577609713547844
Config1,2.4,2.0,6.0,0.6,0.8,562.241884806884,20329.15513426307,981.495920375467
Config1,2.4,2.0,6.0,0.6,0.9,17839.75047563269,0.0,17839.75047563269
Config1,2.4,2.0,6.0,0.8,0.6,19.844663023296263,86.46409326260031,33.286808452497205
Config1,2.4,2.0,6.0,0.8,0.8,11457.343323981568,0.0,11457.343323981568
Config1,2.4,2.0,6.0,0.8,0.9,21498.14624049298,0.0,21498.14624049298
Config1,2.4,3.0,4.0,0.4,0.6,16.62925294736516,21150.217190325628,9406.892021447438
Config1,2.4,3.0,4.0,0.4,0.8,696.2073553945708,9828.013595663242,1065.6820653776385
Config1,2.4,3.0,4.0,0.4,0.9,17785.517297612594,0.0,17785.517297612594
Config1,2.4,3.0,4.0,0.6,0.6,25.22049998618316,26410.24337311873,5555.461954379338
Config1,2.4,3.0,4.0,0.6,0.8,14712.01670592655,0.0,14712.01670592655
Config1,2.4,3.0,4.0,0.6,0.9,22675.357858998846,0.0,22675.357858998843
Config1,2.4,3.0,4.0,0.8,0.6,486.0943935312623,9437.239344689957,673.7546212007171
Config1,2.4,3.0,4.0,0.8,0.8,20506.70623196721,0.0,20506.70623196721
Config1,2.4,3.0,4.0,0.8,0.9,25442.18680262319,0.0,25442.18680262319
Config1,2.4,3.0,5.0,0.4,0.6,15.092784263864445,9922.536914380928,5398.808632674182
Config1,2.4,3.0,5.0,0.4,0.8,78.61875468756473,36088.37606259491,5815.459152318711
Config1,2.4,3.0,5.0,0.4,0.9,14502.803404169135,39314.82134276914,14689.610370024497
Config1,2.4,3.0,5.0,0.6,0.6,18.65097217951888,9492.93935059191,3313.807558164932
Config1,2.4,3.0,5.0,0.6,0.8,7916.341403344915,0.0,7916.341403344915
Config1,2.4,3.0,5.0,0.6,0.9,20191.897373087788,0.0,20191.897373087788
Config1,2.4,3.0,5.0,0.8,0.6,28.512713634167653,9976.34709937521,1693.7579636881385
Config1,2.4,3.0,5.0,0.8,0.8,16159.780705030678,0.0,16159.780705030678
Config1,2.4,3.0,5.0,0.8,0.9,23423.819628642505,0.0,23423.819628642505
Config1,2.4,3.0,6.0,0.4,0.6,14.227081354310322,134.14270835472485,86.08244121689313
Config1,2.4,3.0,6.0,0.4,0.8,52.82360369617763,28948.775881512316,8159.891376181055
Config1,2.4,3.0,6.0,0.4,0.9,11346.028453097633,46369.98553788897,12313.434855524802
Config1,2.4,3.0,6.0,0.6,0.6,15.94474421210255,107.8527039242104,53.12407237994815
