Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_stats_mean,sojournTimeU2_stats_mean,SoggiornoMedio_TuttiUtenti
Config1,2.4,2.0,4.0,0.4,0.6,17.026259118305543,21554.8517402452,9949.389749224909
Config1,2.4,2.0,4.0,0.4,0.8,1168.3557672025752,41121.85402561178,1495.5892752172222
Config1,2.4,2.0,4.0,0.4,0.9,18050.74725589673,0.0,18050.74725589673
Config1,2.4,2.0,4.0,0.6,0.6,26.53709288685012,27524.78010190411,5739.723592199162
Config1,2.4,2.0,4.0,0.6,0.8,15045.00354050737,0.0,15045.00354050737
Config1,2.4,2.0,4.0,0.6,0.9,23011.5629487491,0.0,23011.5629487491
Config1,2.4,2.0,4.0,0.8,0.6,886.173126332272,32093.199699030945,1022.0622075303365
Config1,2.4,2.0,4.0,0.8,0.8,20908.111126859767,0.0,20908.111126859767
Config1,2.4,2.0,4.0,0.8,0.9,25823.179184162225,0.0,25823.179184162225
Config1,2.4,2.0,5.0,0.4,0.6,15.538965210202067,10407.533355511516,5647.714129152926
Config1,2.4,2.0,5.0,0.4,0.8,85.7281099174152,37184.43865887793,6429.5541278995115
Config1,2.4,2.0,5.0,0.4,0.9,14986.01727391453,56874.0314938748,15209.063907786562
Config1,2.4,2.0,5.0,0.6,0.6,19.544607855922152,10652.228736470623,3662.498033459514
Config1,2.4,2.0,5.0,0.6,0.8,8551.03018775626,0.0,8551.03018775626
Config1,2.4,2.0,5.0,0.6,0.9,20614.874021324355,0.0,20614.874021324355
Config1,2.4,2.0,5.0,0.8,0.6,31.84152301402314,11401.081775760325,1899.313739324868
Config1,2.4,2.0,5.0,0.8,0.8,16659.36780081293,0.0,16659.36780081293
Config1,2.4,2.0,5.0,0.8,0.9,23845.08827196309,0.0,23845.08827196309
Config1,2.4,2.0,6.0,0.4,0.6,14.481142602038908,190.36302342672707,120.22048868052622
Config1,2.4,2.0,6.0,0.4,0.8,55.48766395208575,29353.63535130696,8518.675305346653
Config1,2.4,2.0,6.0,0.4,0.9,12189.45017705152,49657.41760830456,13150.245052012357
Config1,2.4,2.0,6.0,0.6,0.6,16.506692745454824,117.28675038272729,56.618089583433346
Config1,2.4,2.0,6.0,0.6,0.8,1013.860305583215,43924.71328207913,1390.534481189512
Config1,2.4,2.0,6.0,0.6,0.9,18306.018247243708,0.0,18306.018247243708
Config1,2.4,2.0,6.0,0.8,0.6,20.415412744111435,98.56342875240749,35.98946123150518
Config1,2.4,2.0,6.0,0.8,0.8,12048.711700437634,0.0,12048.711700437634
Config1,2.4,2.0,6.0,0.8,0.9,21877.37761340562,0.0,21877.37761340562
Config1,2.4,3.0,4.0,0.4,0.6,17.06353503234324,21699.33633243167,9641.392162744807
Config1,2.4,3.0,4.0,0.4,0.8,1130.002691776658,33355.23847745206,1295.0710842597032
Config1,2.4,3.0,4.0,0.4,0.9,18238.959695471105,0.0,18238.959695471105
Config1,2.4,3.0,4.0,0.6,0.6,26.616385337740635,27282.95302429987,5838.706991960984
Config1,2.4,3.0,4.0,0.6,0.8,15108.236460408049,0.0,15108.236460408049
Config1,2.4,3.0,4.0,0.6,0.9,23038.361511397357,0.0,23038.361511397354
Config1,2.4,3.0,4.0,0.8,0.6,884.2898975579358,33296.29334635744,1017.2696327502035
Config1,2.4,3.0,4.0,0.8,0.8,20918.38482421999,0.0,20918.38482421999
Config1,2.4,3.0,4.0,0.8,0.9,25835.73924115691,0.0,25835.73924115691
Config1,2.4,3.0,5.0,0.4,0.6,15.528893912217654,10563.125947517232,5735.540210322385
Config1,2.4,3.0,5.0,0.4,0.8,87.45100902495058,37617.5533121794,6401.39670625622
Config1,2.4,3.0,5.0,0.4,0.9,15034.362409764362,57419.29556584716,15207.032622665592
Config1,2.4,3.0,5.0,0.6,0.6,19.264346094424518,10433.751102959937,3570.8695832691683
Config1,2.4,3.0,5.0,0.6,0.8,8582.196013476507,0.0,8582.196013476507
Config1,2.4,3.0,5.0,0.6,0.9,20551.51720332901,0.0,20551.51720332901
Config1,2.4,3.0,5.0,0.8,0.6,30.411722116869953,11901.8978213664,2017.0963178377322
Config1,2.4,3.0,5.0,0.8,0.8,16617.522944963217,0.0,16617.522944963217
Config1,2.4,3.0,5.0,0.8,0.9,23814.605997737093,0.0,23814.605997737093
Config1,2.4,3.0,6.0,0.4,0.6,14.63111684985228,217.13817098995315,136.35182077151848
Config1,2.4,3.0,6.0,0.4,0.8,57.358963615149676,29835.657676310984,8647.675071430696
Config1,2.4,3.0,6.0,0.4,0.9,12056.134599062969,49652.74606788584,13054.982404180022
Config1,2.4,3.0,6.0,0.6,0.6,16.460424783375142,147.24549310674126,68.92478207729954
Config1,2.4,3.0,6.0,0.6,0.8,1234.4331646859034,45513.065798139854,1521.3666741233706
Config1,2.4,3.0,6.0,0.6,0.9,18429.586169067446,0.0,18429.586169067446
Config1,2.4,3.0,6.0,0.8,0.6,20.505924896436138,105.24417263413328,37.51748878669285
Config1,2.4,3.0,6.0,0.8,0.8,12070.082773609332,0.0,12070.082773609332
Config1,2.4,3.0,6.0,0.8,0.9,21814.34161892384,0.0,21814.34161892384
Config1,2.4,4.0,4.0,0.4,0.6,16.98015024945234,21890.132844062307,9658.336218586339
Config1,2.4,4.0,4.0,0.4,0.8,1024.7468391320633,39360.92662521835,1479.795326032559
Config1,2.4,4.0,4.0,0.4,0.9,18294.9700779241,0.0,18294.9700779241
Config1,2.4,4.0,4.0,0.6,0.6,25.8671570239644,27640.934396587847,5809.615450247625
Config1,2.4,4.0,4.0,0.6,0.8,15062.763257977727,0.0,15062.763257977727
Config1,2.4,4.0,4.0,0.6,0.9,23000.22426355553,0.0,23000.22426355553
Config1,2.4,4.0,4.0,0.8,0.6,752.7126816932688,37839.02696613598,894.2089033815198
Config1,2.4,4.0,4.0,0.8,0.8,20832.520856457795,0.0,20832.520856457795
Config1,2.4,4.0,4.0,0.8,0.9,25806.270446417308,0.0,25806.270446417308
Config1,2.4,4.0,5.0,0.4,0.6,15.587899387114788,10283.840362652305,5574.333761219844
Config1,2.4,4.0,5.0,0.4,0.8,86.44917987632905,36532.52067108058,6347.22003858261
Config1,2.4,4.0,5.0,0.4,0.9,14881.577871202117,43011.778093868146,15011.99770521373
Config1,2.4,4.0,5.0,0.6,0.6,19.180585206937135,10228.366436314263,3557.5753806228736
Config1,2.4,4.0,5.0,0.6,0.8,8626.304238610446,0.0,8626.304238610446
Config1,2.4,4.0,5.0,0.6,0.9,20592.86035999061,0.0,20592.86035999061
Config1,2.4,4.0,5.0,0.8,0.6,31.01697964704063,11374.985247758585,1905.5888867080362
Config1,2.4,4.0,5.0,0.8,0.8,16776.074744993635,0.0,16776.074744993635
Config1,2.4,4.0,5.0,0.8,0.9,23838.00419140325,0.0,23838.00419140325
Config1,2.4,4.0,6.0,0.4,0.6,14.641594188855569,229.1626327377204,143.30705064644496
Config1,2.4,4.0,6.0,0.4,0.8,55.65391368645252,29502.353625833093,8567.059518552915
Config1,2.4,4.0,6.0,0.4,0.9,11951.616947266746,51198.901646650724,12978.957720266128
Config1,2.4,4.0,6.0,0.6,0.6,16.577705749663227,129.60640787933386,61.58807006037198
Config1,2.4,4.0,6.0,0.6,0.8,1301.505187006408,38470.52381935003,1491.0489828206016
Config1,2.4,4.0,6.0,0.6,0.9,18194.329780514396,0.0,18194.329780514396
Config1,2.4,4.0,6.0,0.8,0.6,20.15995927194349,110.57105380482393,38.29628156464417
Config1,2.4,4.0,6.0,0.8,0.8,12136.65804011867,0.0,12136.65804011867
Config1,2.4,4.0,6.0,0.8,0.9,21843.647237866728,0.0,21843.647237866728
Config1,3.0,2.0,4.0,0.4,0.6,19.613028142875375,21728.067587645877,9655.316429536608
Config1,3.0,2.0,4.0,0.4,0.8,6688.0643588206585,42850.71437343327,10615.403484119157
Config1,3.0,2.0,4.0,0.4,0.9,18315.41326484254,43396.512353777725,21052.302605753423
Config1,3.0,2.0,4.0,0.6,0.6,31.52795444752915,27646.73513612644,5799.67963611101
Config1,3.0,2.0,4.0,0.6,0.8,13093.17744222063,50813.11664668555,14046.162061425053
Config1,3.0,2.0,4.0,0.6,0.9,19096.30128194795,50685.74390206353,19885.419700733695
Config1,3.0,2.0,4.0,0.8,0.6,737.5946694918027,33895.11062051672,980.4676286985499
Config1,3.0,2.0,4.0,0.8,0.8,17316.3557297113,0.0,17316.3557297113
Config1,3.0,2.0,4.0,0.8,0.9,21130.651003585423,0.0,21130.651003585423
Config1,3.0,2.0,5.0,0.4,0.6,17.588158326970014,10444.665424432676,5696.269509438246
Config1,3.0,2.0,5.0,0.4,0.8,330.251845175593,37332.32631589869,6295.725818018529
Config1,3.0,2.0,5.0,0.4,0.9,16958.60802116611,39329.12235372341,20138.684204600628
Config1,3.0,2.0,5.0,0.6,0.6,22.321145267325733,10746.241791191229,3725.35266635736
Config1,3.0,2.0,5.0,0.6,0.8,10337.91391163249,40380.39543504912,12631.86986050622
