Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_Stima_Minimo_05perc,sojournTimeU1_vec:vector_Stima_Massimo_95perc,sojournTimeU2_vec:vector_Stima_Minimo_05perc,sojournTimeU2_vec:vector_Stima_Massimo_95perc
Config1,2.4,2.0,4.0,0.4,0.6,2.569713627052683,51.61238565890195,10128.077383337612,42107.3195602554
Config1,2.4,2.0,4.0,0.4,0.8,109.45046054999482,2632.955361945171,42276.18439549415,56411.60081263984
Config1,2.4,2.0,4.0,0.4,0.9,1575.5613089592325,45108.80404016862,,
Config1,2.4,2.0,4.0,0.6,0.6,3.0652674562809823,83.49653481330238,14771.336718583476,48142.522789172544
Config1,2.4,2.0,4.0,0.6,0.8,3848.303223015819,35077.69318431229,,
Config1,2.4,2.0,4.0,0.6,0.9,5011.3964014408175,51074.68414932587,,
Config1,2.4,2.0,4.0,0.8,0.6,165.56137820957457,1866.0246586101853,46975.33418899333,58802.12432901689
Config1,2.4,2.0,4.0,0.8,0.8,6855.744333009236,44644.272948607024,,
Config1,2.4,2.0,4.0,0.8,0.9,7786.648654592408,53823.18554924925,,
Config1,2.4,2.0,5.0,0.4,0.6,2.5024851376952553,46.864504289336644,3662.0175892851375,23561.72145950147
Config1,2.4,2.0,5.0,0.4,0.8,4.277422573412183,269.6493436873792,22216.770556920183,58603.929975606574
Config1,2.4,2.0,5.0,0.4,0.9,73.07467073217116,40393.61331265072,47714.151853511205,62870.65422653363
Config1,2.4,2.0,5.0,0.6,0.6,2.7001447938134397,59.786468926105044,3716.2459323924813,23806.064811462344
Config1,2.4,2.0,5.0,0.6,0.8,1684.6522533103393,21676.300538783253,,
Config1,2.4,2.0,5.0,0.6,0.9,3077.60658071285,48267.72372210377,,
Config1,2.4,2.0,5.0,0.8,0.6,3.2516332086117004,98.40478746950939,3613.0610215797496,24068.134099261235
Config1,2.4,2.0,5.0,0.8,0.8,4560.670576137151,38074.94985020674,,
Config1,2.4,2.0,5.0,0.8,0.9,5707.142047033125,52224.950184344634,,
Config1,2.4,2.0,6.0,0.4,0.6,2.321803625409345,42.895846195279645,7.084582187716412,534.8713382095816
Config1,2.4,2.0,6.0,0.4,0.8,3.5344613997102847,174.31783817063973,13668.091701933197,52907.32176907836
Config1,2.4,2.0,6.0,0.4,0.9,18.129488516882994,33203.5390508297,34329.67224874285,64908.53089677087
Config1,2.4,2.0,6.0,0.6,0.6,2.2732813818689475,50.335283318550886,3.9082062829579227,375.5554164679541
Config1,2.4,2.0,6.0,0.6,0.8,85.25695402129855,2401.9169241535888,41126.39186722524,58286.68586808418
Config1,2.4,2.0,6.0,0.6,0.9,1608.0005755903933,45303.3176534642,,
Config1,2.4,2.0,6.0,0.8,0.6,2.220660815241545,64.01316292650583,3.1710546868175724,348.0204405084104
