Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_P(T > 2.0s),sojournTimeU1_vec:vector_P(T > 3.0s),sojournTimeU1_vec:vector_P(T > 4.0s),sojournTimeU2_vec:vector_P(T > 2.0s),sojournTimeU2_vec:vector_P(T > 3.0s),sojournTimeU2_vec:vector_P(T > 4.0s)
Config1,2.4,2.0,4.0,0.4,0.6,0.9867135663905681,0.9072575237845116,0.8061947408423848,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.4,0.8,0.9996421673741128,0.9984104346722992,0.9957142121010913,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.6,0.6,0.9930766695995734,0.9509661069731671,0.8914704505940663,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.8,0.6,0.9997686898232659,0.9983963269491029,0.9958275727809002,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.4,0.6,0.9841941019036525,0.8924502687534187,0.7832230563990463,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.4,0.8,0.9969704544498302,0.9777669144165959,0.9522616051780114,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.4,0.9,0.9997582429099484,0.9991627680514467,0.998057512285532,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.6,0.6,0.9891728310731459,0.9239240139347388,0.8397600375012632,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.8,0.6,0.9936267289824695,0.9584353746735941,0.9072383180622993,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.4,0.6,0.971881529857021,0.8678432420154842,0.7572075824160139,0.9926815322937629,0.980800670949138,0.9658595854022738
Config1,2.4,2.0,6.0,0.4,0.8,0.995831159144284,0.965987703935815,0.9257500358108287,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.4,0.9,0.9994168178233728,0.9973693278688124,0.9938890480883458,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.6,0.6,0.9678686700344882,0.8756118475088559,0.7823423481121403,0.9848592789773499,0.9648090289964971,0.9395227250818117
Config1,2.4,2.0,6.0,0.6,0.8,0.9998761470101563,0.9984769530042301,0.9965527161143365,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.8,0.6,0.9636000340024689,0.8864869743142351,0.8185198864136128,0.9763530467689181,0.9508886751220726,0.9157204022953723
Config1,2.4,2.0,6.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.4,0.6,0.9866758240702773,0.9056245710725684,0.8071697053761342,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.4,0.8,0.9998757235139245,0.9986808147162036,0.9967135535780621,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.6,0.6,0.9931480375658919,0.9503994880654592,0.8899046197131988,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.8,0.6,0.9997077798544076,0.9983573801597526,0.9955576745174922,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.4,0.6,0.9834652508997384,0.8901991519033942,0.7803737183711317,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.4,0.8,0.9965516121384291,0.9776214025349362,0.9520066734261478,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.4,0.9,0.9996719407465815,0.9990470395091386,0.9978472709543744,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.6,0.6,0.9895566586972151,0.9224102984220902,0.8359738115740987,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.8,0.6,0.9939675277533359,0.9572065519249138,0.9050857089622174,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.4,0.6,0.9746171430187823,0.8698162492249283,0.7579652548357708,0.9916806437634573,0.9806108071493043,0.9663801204886026
Config1,2.4,3.0,6.0,0.4,0.8,0.995420661215771,0.9665828954784629,0.9289646289199758,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.4,0.9,0.9994589773706237,0.9973045775373206,0.9939472773050537,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.6,0.6,0.9692733572227641,0.8762600725008884,0.7838081034174793,0.9855675837893844,0.9646394514517974,0.9408823219546887
Config1,2.4,3.0,6.0,0.6,0.8,0.999741169332281,0.998224348108672,0.9962171979272485,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.8,0.6,0.9650627430940297,0.8877898747178217,0.8185257368966924,0.9751735624238708,0.9485193128319797,0.9156306293172234
Config1,2.4,3.0,6.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.4,0.6,0.9854551365650136,0.9077219476814111,0.8084651081044696,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.4,0.8,0.9995760135122704,0.9983664423892432,0.9949427294000285,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.6,0.6,0.9926441983505851,0.9495786284236712,0.8890460461220558,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.8,0.6,0.9995677708003694,0.9978527126895406,0.9959792866555294,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.4,0.6,0.9836006333493207,0.8904296432176092,0.780837157203418,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.4,0.8,0.9965544400723937,0.9779595671826679,0.9522011592270878,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.4,0.9,1.0,0.9995361506283528,0.9990299409276826,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.6,0.6,0.9887888028708957,0.9240714801168712,0.8377014161496525,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.8,0.6,0.99424844891856,0.9588821559101284,0.9087909910673492,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,6.0,0.4,0.6,0.9735325345224368,0.8697146857573198,0.7588509579276104,0.9913097302245681,0.9804468978649663,0.9673651380924684
Config1,2.4,4.0,6.0,0.4,0.8,0.9951067214472042,0.9661112563486606,0.9263164991747757,1.0,1.0,1.0
Config1,2.4,4.0,6.0,0.4,0.9,0.9993498476504884,0.9962730869585811,0.9919772778718341,1.0,1.0,1.0
Config1,2.4,4.0,6.0,0.6,0.6,0.9685766942875565,0.8772537297495172,0.7856865689817353,0.9850812414833013,0.9653432877781274,0.9417915580898801
Config1,2.4,4.0,6.0,0.6,0.8,0.9997741511512371,0.9987083729997027,0.9965916822054286,1.0,1.0,1.0
Config1,2.4,4.0,6.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,6.0,0.8,0.6,0.9620804041756934,0.8846140759900776,0.8179416350194735,0.9761217555885222,0.9475595602761584,0.9158202332994126
Config1,2.4,4.0,6.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,6.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.4,0.6,0.9871767600265524,0.9068714895770466,0.8080175421760855,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.4,0.8,0.9974642700769508,0.9833335358694014,0.961797947999244,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.4,0.9,0.9971423669408296,0.9818197374982622,0.9610400973235445,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.6,0.6,0.9927643682993599,0.9507324726484488,0.8901486458904596,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.6,0.8,0.9990272373727873,0.9937178227044792,0.9848587246512875,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.6,0.9,0.9991533079011135,0.9942378173508198,0.985347330374549,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.8,0.6,0.9996667547890989,0.9972051344719671,0.9942246594966311,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,3.0,2.0,4.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.4,0.6,0.9827816663783827,0.8921758293862613,0.7788215208492772,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.4,0.8,0.9973338905095913,0.9786006668398658,0.9534683460585188,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.4,0.9,0.9974164605151747,0.9819833391997136,0.95839626863772,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.6,0.6,0.9898819072026391,0.9215384124582751,0.8349438031902094,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.6,0.8,0.9976616743299637,0.9855988260099071,0.9664289101623148,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.6,0.9,0.997806117368421,0.9862902769799038,0.9683018817700361,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.8,0.6,0.9938153341158945,0.9570169463368645,0.9053167547655674,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.8,0.8,0.9993006797254327,0.9971379698195999,0.9927706778109522,1.0,1.0,1.0
Config1,3.0,2.0,5.0,0.8,0.9,0.9994826482460699,0.9955856326861705,0.9904045573604204,1.0,1.0,1.0
Config1,3.0,2.0,6.0,0.4,0.6,0.9729982376579214,0.8672900341375595,0.755600764590683,0.9916344789252518,0.9804290407824526,0.9644865418713507
Config1,3.0,2.0,6.0,0.4,0.8,0.9953950192518798,0.9667504772156283,0.9293937106420164,1.0,1.0,1.0
Config1,3.0,2.0,6.0,0.4,0.9,0.9970658812542725,0.9819673660424544,0.9576188760851682,1.0,1.0,1.0
