Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_P(T > 2.0s),sojournTimeU1_vec:vector_P(T > 3.0s),sojournTimeU1_vec:vector_P(T > 4.0s),sojournTimeU2_vec:vector_P(T > 2.0s),sojournTimeU2_vec:vector_P(T > 3.0s),sojournTimeU2_vec:vector_P(T > 4.0s)
Config1,2.4,2.0,4.0,0.4,0.6,0.9876703943786044,0.9095206428676775,0.8103301790415258,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.4,0.8,0.9998207696112539,0.9990325225819827,0.9974730305116409,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.6,0.6,0.9937976465154288,0.9531758856180167,0.8948490743129767,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.8,0.6,0.9998866504694224,0.9991555674788085,0.9977687229687277,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,4.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.4,0.6,0.985473499982022,0.895726784892841,0.7877761621654928,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.4,0.8,0.9974959792211401,0.9796394326897293,0.9555928751850123,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.4,0.9,0.9999009404524063,0.9995517433834493,0.9987468547831246,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.6,0.6,0.9899752194486892,0.9267916555620536,0.843919713667767,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.8,0.6,0.994393691006282,0.9604226037522066,0.9119869339010893,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,5.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.4,0.6,0.9746223041853985,0.8728402478836023,0.7623935244830393,0.9937216312688756,0.9835303094534724,0.9708742665753602
Config1,2.4,2.0,6.0,0.4,0.8,0.9964489699908536,0.9687846007162966,0.9306949308692818,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.4,0.9,0.9996913529090126,0.9980820157091171,0.995017972271939,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.6,0.6,0.970273528197214,0.8804004930199854,0.7882777655770086,0.9861892446827552,0.9675139350501538,0.9445517410546092
Config1,2.4,2.0,6.0,0.6,0.8,0.9999492513773338,0.9990664817950291,0.997880945742358,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.8,0.6,0.9648296204446716,0.8895963611708216,0.8226800243856444,0.978896267731207,0.953968554197607,0.9205689479996721
Config1,2.4,2.0,6.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,2.0,6.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.4,0.6,0.9879452495547179,0.9089413714418603,0.8116608285538905,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.4,0.8,0.9999490792258797,0.9992909890850615,0.9982547873804517,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.6,0.6,0.9938852980510615,0.9525845516337721,0.893945795458593,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.8,0.6,0.9998972100903682,0.9991992709524492,0.9978604074785702,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,4.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.4,0.6,0.9846702030989795,0.8941945722906735,0.7845073009634327,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.4,0.8,0.997251056515406,0.9796996022565224,0.9553063169505611,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.4,0.9,0.9998469613479438,0.9994919216986113,0.9985799285509127,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.6,0.6,0.9901757186536522,0.9246679445628094,0.8404857787750487,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.8,0.6,0.9945351324928341,0.9591578956201652,0.9089348608253784,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,5.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.4,0.6,0.9766896198767057,0.8737261713528663,0.7633934277216898,0.9931203556458831,0.9832851513268892,0.9705451295067207
Config1,2.4,3.0,6.0,0.4,0.8,0.9963473024822725,0.9693377546730769,0.9330350292194927,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.4,0.9,0.9996880077901882,0.99808163968978,0.995019323960442,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.6,0.6,0.9717678929179282,0.8806164882720854,0.7895500975898224,0.9876515780897392,0.9692688069441189,0.9481072602479061
Config1,2.4,3.0,6.0,0.6,0.8,0.9998723472069498,0.9989790560436871,0.9977064625660794,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.8,0.6,0.9676806670807429,0.893112049113315,0.8241163255040457,0.9783024125831037,0.9528490233885831,0.921251360067245
Config1,2.4,3.0,6.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,3.0,6.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.4,0.6,0.9869222640503452,0.9109021591935154,0.8125949495851282,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.4,0.8,0.9997716540169049,0.9989866021879497,0.9969919956323979,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.6,0.6,0.9935638760379997,0.9523300708286694,0.8929750461548774,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.8,0.6,0.9997477468215926,0.9986392466086679,0.9974788241074328,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,4.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.4,0.6,0.9850632353790421,0.8937509490452774,0.7843996717964625,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.4,0.8,0.9969923659309222,0.9794881649302696,0.9550200424201651,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.4,0.9,1.0,0.9997920591221072,0.9994889020085547,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.6,0.6,0.9895618338996586,0.9261999787715564,0.840349654729265,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.6,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Config1,2.4,4.0,5.0,0.8,0.6,0.9947530949922733,0.961315233845727,0.912137508499506,1.0,1.0,1.0
